E8E2	AlignRight	text,justify,position,symbol-icon
E8E3	AlignCenter	text,justify,position,middle,symbol-icon
E8E4	AlignLeft	text,justify,position,symbol-icon
E8E5	OpenFile	document,page,view,access,symbol-icon
E8E6	ClearSelection	check,checkmark,check multiple,symbol-icon
E8E7	FontDecrease	text,size,smaller,reduce,adjust,symbol-icon
E8E8	FontIncrease	text,size,larger,enlarge,adjust,symbol-icon
E8E9	FontSize	text,adjust,symbol-icon
E8EA	CellPhone	device,mobile,small screen,cellular telephone,apple,android,symbol-icon
E8EB	Reshare	arrow,repost,forward,distribute,spread,symbol-icon
E8EC	Tag	label,price,information,detail,metadata,purchase,sort,symbol-icon
E8ED	RepeatOne	arrow,single,loop,song,track,symbol-icon
E8EE	RepeatAll	arrow,loop,song,track,playlist,continuous,symbol-icon
E8EF	Calculator	math,formulas,add,subtract,multiply,divde,symbol-icon
E8F0	Directions	arrow,symbol-icon
E8F1	Library	books,collection,library,archive,resources,symbol-icon
E8F2	ChatBubbles	message,text,message,conversation,talk
E8F3	PostUpdate	symbol-icon
E8F4	NewFolder	collection,directory,file,storage,plus,new,+,symbol-icon
E8F5	CalendarReply	time,date,planning,symbol-icon
E8F6	UnsyncFolder	collection,directory,file,storage,disconnect,offline,remove,symbol-icon
E8F7	SyncFolder	collection,directory,file,storage,connect,update,refresh,symbol-icon
E8F8	BlockContact	person,user,restrict,privacy,remove,symbol-icon
E8F9	SwitchApps	change,transition,symbol-icon
E8FA	AddFriend	person,user,connect,social,relationship,symbol-icon
E8FB	Accept	check,agree,approve,confirm,approve,symbol-icon
E8FC	GoToStart	home,begin,windows,navigate,symbol-icon
E8FD	BulletedList	organize,items,points,symbol-icon
E8FE	Scan	camera,aperture,image,picture,symbol-icon,scanner
E8FF	Preview	document,preview,view,file,read,page,symbol-icon
E902	Group	person,user,people,team,crowd,community
E904	ZeroBars	no signal,connection,lost,weak,empty,symbol-icon
E905	OneBar	weak signal,connection,low,signal,poor,symbol-icon
E906	TwoBars	signal,connection,fair,moderate,average,symbol-icon
E907	ThreeBars	good signal,connection,strong,stable,high,symbol-icon
E908	FourBars	full signal,excellent,connection,strong,maximum,symbol-icon
E909	World	globe,earth,international,global,symbol-icon
E90A	Comment	chat,message,mention,discussion,symbol-icon
E90B	MusicInfo	musician,art,music,info,song,track,details,symbol-icon
E90C	DockLeft	position,side,panel,symbol-icon
E90D	DockRight	position,side,panel,symbol-icon
E90E	DockBottom	position,side,panel,symbol-icon
E90F	Repair	wrench,tool,fix,restore,correct,symbol-icon
E910	Accounts	@,at,email,address,symbol,communication,symbol-icon
E911	DullSound	dull,sound
E912	Manage	bag,handbag,briefcase,control,organize,administer,oversee,handle,symbol-icon
E913	Street	road,address,location,avenue,way,symbol-icon
E914	Printer3D	design,model,fabricate,technology,create
E915	RadioBullet	dot,circle
E916	Stopwatch	time,clock,timer
E917	Clock	clock,time
E91B	Photo	image,picture,snapshot,portrait,frame,gallery,canvas,visual,view
E91C	ActionCenter	notification,message,settings,control,quick access,system,configuration
E91F	FullCircleMask	shape,round,border
E921	ChromeMinimize	window,shrink,small,collapse,resize
E922	ChromeMaximize	window,expand,full screen,enlarge,width,height,resize,fill,fit
E923	ChromeRestore	window,resize,default,revert
E924	Annotation	cut,edit,scissors,mark,highlight
E925	BackSpaceQWERTYSm	delete,backward,remove,keyboard
E926	BackSpaceQWERTYMd	delete,backward,remove,keyboard
E927	Swipe	gesture,touch screen,mobile,tablet
E928	Fingerprint	scan,security,hand
E929	Handwriting	write,pen,gesture,scribble,draw
E92C	ChromeBackToWindow	arrow,restore,return,minimize
E92D	ChromeFullScreen	arrow,expand,maximize,window,view
E92E	KeyboardStandard	type,key,device,hardware
E92F	KeyboardDismiss	type,key,device,hardware,close,hide,exit
E930	Completed	check,finished,done,achieved,success
E931	ChromeAnnotate	cut,edit,scissors,mark,highlight
E932	Label	edit,tag,identifier,caption,name,marker
E933	IBeam	cursor,text,select,pointer,edit
E934	IBeamOutline	cursor,text,select,pointer,edit
E935	FlickDown	triangle,gesture,swipe,scroll,move
E936	FlickUp	triangle,gesture,swipe,scroll,move
E937	FlickLeft	triangle,gesture,swipe,scroll,navigate
E938	FlickRight	triangle,gesture,swipe,scroll,navigate
E939	FeedbackApp	person,user,review,response,evaluation
E93A	MiniExpand	mini,expand,fullscreen
E93C	MusicAlbum	collection,tracks,playlist
E93E	Streaming	media,live,video,broadcast,online
E943	Code	bracket,slash
E944	ReturnToWindow	arrow,restore,back,minimize
E945	LightningBolt	thunder,energy,power,electricity,shock,storm
E946	Info	information,details,content
E947	CalculatorMultiply	x,math,operation,symbol,arithmetic
E948	CalculatorAddition	+,math,operation,symbol,arithmetic
E949	CalculatorSubtract	-,math,operation,symbol,arithmetic
E94A	CalculatorDivide	/,math,operation,symbol,arithmetic
E94B	CalculatorSquareroot	math,operation,symbol,arithmetic
E94C	CalculatorPercentage	%,math,operation,symbol,arithmetic
E94D	CalculatorNegate	-,math,operation,symbol,arithmetic
E94E	CalculatorEqualTo	=,math,operation,symbol,arithmetic
E94F	CalculatorBackspace	math,operation,symbol,arithmetic
E950	Component	chip,semiconductor,processor,circuit,electronics,technology,hardware
E951	DMC	control,remote,device,access,operate
E952	Dock	device
E953	MultimediaDMS	server,stream,share,content
E954	MultimediaDVR	record,video,tv,capture
E955	MultimediaPMP	player,portable,music,device
E956	PrintfaxPrinterFile	document,page
E957	Sensor	device,measurement,detection,technology,input
E958	StorageOptical	disk,media,drive
